48601-RMSD-potein-potein-xvgx,48601-RMSD-potein-potein-xvgy1,4860-rmsd-potein-potein.xvg,4860-rmsd-potein-potein-xvgy2,5018-rmsd-potein-potein.xvg,5018-rmsd-potein-xvgy3,,5018-RMSD-lig-ligx,5018-RMSD-lig-ligy1,48601-RMSD-lig-lig.xvg,48601-RMSD-lig-ligy2,4860-rmsd-lig-lig.xvg,4860-rmsd-lig-ligy3,,4860-rmsd-backbond-backbond.xvg,4860-rmsd-backbond-backbond.xvg,48601-rmsd-backbond.xvg,48601-rmsd-backbond.xvg,5018-RMSD-backbond-backbond.xvg,5018-RMSD-backbond-backbond.xvg
0,0.0000136,0,0.0000412,0,0.0000079,,0,0.0000008,0,0.0000013,0,0.0000047,,0,0.0000788,0,0.0000025,0,0.0000076
0.01,0.1231538,0.01,0.1682066,0.01,0.1426303,,0.01,0.0551467,0.01,0.062831,0.01,0.0970427,,0.01,0.1456531,0.01,0.1031752,0.01,0.12214
0.02,0.1497056,0.02,0.1888842,0.02,0.1578092,,0.02,0.0463691,0.02,0.0891183,0.02,0.0513607,,0.02,0.1628645,0.02,0.1233677,0.02,0.1338684
0.03,0.1586366,0.03,0.2144453,0.03,0.1662611,,0.03,0.0735375,0.03,0.0865263,0.03,0.0799883,,0.03,0.1871484,0.03,0.1264505,0.03,0.1399979
0.04,0.1768274,0.04,0.2272369,0.04,0.1742138,,0.04,0.0593708,0.04,0.0981463,0.04,0.0733777,,0.04,0.1989937,0.04,0.1446555,0.04,0.1481557
0.05,0.1986102,0.05,0.2397698,0.05,0.1803735,,0.05,0.070298,0.05,0.1186491,0.05,0.1111828,,0.05,0.2099964,0.05,0.1698165,0.05,0.1488084
0.06,0.2088881,0.06,0.2493864,0.06,0.1976536,,0.06,0.0851049,0.06,0.1297996,0.06,0.1269736,,0.06,0.2192642,0.06,0.1762282,0.06,0.1672859
0.07,0.210332,0.07,0.2601914,0.07,0.1899882,,0.07,0.0550168,0.07,0.1270438,0.07,0.1280792,,0.07,0.2289216,0.07,0.1813187,0.07,0.1577809
0.08,0.2236408,0.08,0.259726,0.08,0.2003668,,0.08,0.1353277,0.08,0.0971529,0.08,0.1320583,,0.08,0.2265662,0.08,0.1901569,0.08,0.1692068
0.09,0.2349526,0.09,0.2594906,0.09,0.2096149,,0.09,0.1414003,0.09,0.0900044,0.09,0.1182324,,0.09,0.2257483,0.09,0.2020717,0.09,0.1787636
0.1,0.2449235,0.1,0.2661112,0.1,0.2157871,,0.1,0.1313035,0.1,0.0907986,0.1,0.1328728,,0.1,0.2317157,0.1,0.211372,0.1,0.1840352
0.11,0.2559493,0.11,0.2703468,0.11,0.2029327,,0.11,0.1378681,0.11,0.0778012,0.11,0.139672,,0.11,0.2349352,0.11,0.2245362,0.11,0.168204
0.12,0.2380787,0.12,0.2760202,0.12,0.2056094,,0.12,0.1527514,0.12,0.1402843,0.12,0.1174676,,0.12,0.2417166,0.12,0.2044219,0.12,0.1715757
0.13,0.23839,0.13,0.2805581,0.13,0.19052,,0.13,0.1509945,0.13,0.1799326,0.13,0.1354871,,0.13,0.2459351,0.13,0.2037744,0.13,0.1510976
