RMSD-md50ns-complex-00696-protein.xvg,RMSD-md50ns-complex-00696-protein.xvg,RMSD-md50ns-complex-00320-protein.xvg,RMSD-md50ns-complex-00320-protein.xvg,RMSD-md50ns-complex-04868-protein.xvg,RMSD-md50ns-complex-04868-protein.xvg
0,0.0000077,0,0.0000052,0,0.0000001
0.01,0.1416027,0.01,0.1312288,0.01,0.1189727
0.02,0.1740383,0.02,0.1486792,0.02,0.1478913
0.03,0.1744308,0.03,0.1485722,0.03,0.177189
0.04,0.1870061,0.04,0.1579695,0.04,0.1917786
0.05,0.1958352,0.05,0.1731662,0.05,0.1897039
0.06,0.1932144,0.06,0.1773441,0.06,0.1686645
0.07,0.2179849,0.07,0.1717797,0.07,0.1848393
0.08,0.2164195,0.08,0.1940803,0.08,0.1866839
0.09,0.2158911,0.09,0.2003676,0.09,0.1785419
0.1,0.2321268,0.1,0.1858674,0.1,0.1800323
0.11,0.2416286,0.11,0.2023195,0.11,0.1812445
0.12,0.2411607,0.12,0.2251068,0.12,0.1925694
0.13,0.2420862,0.13,0.2054544,0.13,0.19411
0.14,0.2402054,0.14,0.2229202,0.14,0.1743999
0.15,0.2562495,0.15,0.2223172,0.15,0.1729056
0.16,0.2460502,0.16,0.2134603,0.16,0.1766645
0.17,0.2224111,0.17,0.2413505,0.17,0.1778581
0.18,0.2286949,0.18,0.2424002,0.18,0.1912975
0.19,0.2289989,0.19,0.2727059,0.19,0.1880685
0.2,0.2153984,0.2,0.2792821,0.2,0.1944135
0.21,0.2220838,0.21,0.2830296,0.21,0.1802411
0.22,0.2300312,0.22,0.2779731,0.22,0.177848
0.23,0.2394541,0.23,0.2517128,0.23,0.1842217
0.24,0.2629014,0.24,0.2626038,0.24,0.1954274
0.25,0.2603875,0.25,0.2606874,0.25,0.2040816
0.26,0.2592363,0.26,0.2727191,0.26,0.2089656
0.27,0.2570564,0.27,0.2795692,0.27,0.1924767
0.28,0.2625901,0.28,0.2514008,0.28,0.1845579
0.29,0.2627789,0.29,0.2696626,0.29,0.1911955
0.3,0.2561158,0.3,0.2681207,0.3,0.2021504
0.31,0.2420248,0.31,0.2714707,0.31,0.214339
0.32,0.2625076,0.32,0.2950395,0.32,0.2327764
0.33,0.2562668,0.33,0.2955084,0.33,0.2353078
0.34,0.2325288,0.34,0.2641293,0.34,0.249119
0.35,0.2295067,0.35,0.2603716,0.35,0.2390923
0.36,0.2457645,0.36,0.2374957,0.36,0.2650707
0.37,0.2295383,0.37,0.2431876,0.37,0.2551026
0.38,0.2171343,0.38,0.2379699,0.38,0.2348991
0.39,0.2167851,0.39,0.2302253,0.39,0.2339677
0.4,0.2119629,0.4,0.2423311,0.4,0.244888
0.41,0.2053279,0.41,0.2299882,0.41,0.2572325
0.42,0.2134364,0.42,0.222407,0.42,0.2555734
0.43,0.2127719,0.43,0.2119059,0.43,0.260655
0.44,0.2172508,0.44,0.2209459,0.44,0.2671658
0.45,0.2233368,0.45,0.205974,0.45,0.255913
0.46,0.2468528,0.46,0.2107583,0.46,0.2402268
0.47,0.2424622,0.47,0.1965925,0.47,0.2425333
0.48,0.2529761,0.48,0.20625,0.48,0.2399803
0.49,0.2537794,0.49,0.207289,0.49,0.2284308
0.5,0.2777336,0.5,0.2090488,0.5,0.2287713
0.5100001,0.2681391,0.5100001,0.2305254,0.5100001,0.2220324
0.52,0.2553565,0.52,0.2208712,0.52,0.2455317
0.53,0.2425883,0.53,0.2333403,0.53,0.2341603
0.54,0.2381711,0.54,0.2248466,0.54,0.2187908
0.55,0.2482602,0.55,0.2472622,0.55,0.2140444
0.56,0.2565377,0.56,0.2528319,0.56,0.232196
0.5700001,0.2389952,0.5700001,0.237212,0.5700001,0.2370403
0.58,0.218869,0.58,0.2396341,0.58,0.2517403
0.59,0.211301,0.59,0.2380449,0.59,0.243489
0.6,0.2108963,0.6,0.2473302,0.6,0.2256812
0.61,0.2123243,0.61,0.239382,0.61,0.2395652
0.62,0.2223187,0.62,0.2405846,0.62,0.2391824
0.6300001,0.2155911,0.6300001,0.2606011,0.6300001,0.2090197
0.64,0.2332969,0.64,0.2604367,0.64,0.2065083
0.65,0.2564269,0.65,0.2809506,0.65,0.2145616
0.66,0.2266045,0.66,0.296347,0.66,0.2183747
0.67,0.2154753,0.67,0.3296339,0.67,0.2233008
0.68,0.2103746,0.68,0.2971574,0.68,0.2113943
0.6900001,0.2293382,0.6900001,0.3279099,0.6900001,0.2184318
0.7,0.2201362,0.7,0.324811,0.7,0.2292985
0.71,0.2023531,0.71,0.298063,0.71,0.2414369
0.72,0.2136841,0.72,0.3017673,0.72,0.2292458
0.73,0.2101372,0.73,0.2983067,0.73,0.2299647
0.74,0.2195372,0.74,0.2967525,0.74,0.2345335
0.7500001,0.220327,0.7500001,0.2911215,0.7500001,0.2142537
0.7600001,0.2207378,0.7600001,0.3084601,0.7600001,0.2149542
0.77,0.2136968,0.77,0.3162034,0.77,0.2339953
0.78,0.2202612,0.78,0.2880135,0.78,0.2285942
0.79,0.2180976,0.79,0.2850358,0.79,0.2769281
0.8,0.2094452,0.8,0.2683156,0.8,0.2643484
0.8100001,0.1989226,0.8100001,0.2544324,0.8100001,0.2199782
0.8200001,0.2043972,0.8200001,0.2298325,0.8200001,0.2352394
0.83,0.221788,0.83,0.2432994,0.83,0.2157971
0.84,0.2137015,0.84,0.2473993,0.84,0.2180343
0.85,0.2239288,0.85,0.2540256,0.85,0.2180868
0.86,0.2357133,0.86,0.2546053,0.86,0.2087778
0.8700001,0.2355311,0.8700001,0.2642142,0.8700001,0.2171726
0.8800001,0.226472,0.8800001,0.2924805,0.8800001,0.2296734
0.89,0.2026039,0.89,0.2974508,0.89,0.2127368
0.9,0.2028365,0.9,0.29786,0.9,0.2164992
0.91,0.2075328,0.91,0.277452,0.91,0.2087408
0.92,0.2221926,0.92,0.276908,0.92,0.2065895
0.9300001,0.2454422,0.9300001,0.2523504,0.9300001,0.201529
0.9400001,0.2406784,0.9400001,0.267169,0.9400001,0.2012109
0.95,0.2287593,0.95,0.2527369,0.95,0.2037229
0.96,0.2281041,0.96,0.2540468,0.96,0.2058196
0.97,0.2389709,0.97,0.2812036,0.97,0.2110431
0.98,0.2450231,0.98,0.283186,0.98,0.220082
0.9900001,0.248037,0.9900001,0.3022243,0.9900001,0.2214656
1,0.2379889,1,0.2996022,1,0.2265357
1.01,0.2482833,1.01,0.2954617,1.01,0.2172057
1.0200001,0.263103,1.0200001,0.2857449,1.0200001,0.2054933
1.0300001,0.2629443,1.0300001,0.2903965,1.0300001,0.2225733
1.0400001,0.2680953,1.0400001,0.2965066,1.0400001,0.2340687
1.0500001,0.2710911,1.0500001,0.3016933,1.0500001,0.2247307
1.0600001,0.2653675,1.0600001,0.2884011,1.0600001,0.2242345
1.0700001,0.263701,1.0700001,0.2943439,1.0700001,0.2109688
1.08,0.2825049,1.08,0.3045593,1.08,0.1985084
1.09,0.2774257,1.09,0.2815733,1.09,0.1928461
1.1,0.3003936,1.1,0.2786642,1.1,0.2108898
1.11,0.3103875,1.11,0.2819571,1.11,0.2092571
1.12,0.3132272,1.12,0.2744674,1.12,0.2444886
1.13,0.2997464,1.13,0.2632115,1.13,0.2414261
1.1400001,0.2947461,1.1400001,0.2808219,1.1400001,0.2371852
1.1500001,0.2776384,1.1500001,0.291538,1.1500001,0.2395054
1.1600001,0.2538596,1.1600001,0.278401,1.1600001,0.2240197
1.1700001,0.255537,1.1700001,0.2781611,1.1700001,0.2324428
1.1800001,0.2497233,1.1800001,0.2751194,1.1800001,0.2277171
1.1900001,0.2192689,1.1900001,0.2669249,1.1900001,0.2188273
1.2,0.2473169,1.2,0.279757,1.2,0.2362461
1.21,0.2720417,1.21,0.297887,1.21,0.2175209
1.22,0.2731795,1.22,0.3077414,1.22,0.2151608
1.23,0.2669833,1.23,0.2908326,1.23,0.2304429
1.24,0.2450529,1.24,0.2797072,1.24,0.2380019
1.25,0.2429718,1.25,0.2962757,1.25,0.2395485
1.2600001,0.2509029,1.2600001,0.2896806,1.2600001,0.233996
1.2700001,0.2610997,1.2700001,0.3155179,1.2700001,0.2359282
1.2800001,0.2700833,1.2800001,0.285252,1.2800001,0.2538629
1.2900001,0.2955283,1.2900001,0.2704427,1.2900001,0.2469769
1.3000001,0.3006105,1.3000001,0.2757952,1.3000001,0.2701539
1.3100001,0.2863728,1.3100001,0.2670065,1.3100001,0.260498
1.3200001,0.2928048,1.3200001,0.272319,1.3200001,0.2545015
1.33,0.3067991,1.33,0.2769345,1.33,0.2431008
1.34,0.2975696,1.34,0.2646391,1.34,0.231225
1.35,0.2724558,1.35,0.2849424,1.35,0.2232661
1.36,0.2694516,1.36,0.3036229,1.36,0.2239224
1.3700001,0.28573,1.3700001,0.2847614,1.3700001,0.2320523
1.3800001,0.2935769,1.3800001,0.2750924,1.3800001,0.2452169
1.3900001,0.2931991,1.3900001,0.2760056,1.3900001,0.2348838
1.4000001,0.293269,1.4000001,0.2765412,1.4000001,0.2318399
1.4100001,0.3114446,1.4100001,0.2912032,1.4100001,0.2311895
1.4200001,0.3070759,1.4200001,0.2798422,1.4200001,0.2470571
1.4300001,0.29849,1.4300001,0.2954901,1.4300001,0.2492496
1.4400001,0.311294,1.4400001,0.3120095,1.4400001,0.2376328
1.45,0.3355547,1.45,0.312234,1.45,0.2358208
1.46,0.3231604,1.46,0.3037442,1.46,0.2272659
1.47,0.3383667,1.47,0.3041245,1.47,0.2319488
1.48,0.3405719,1.48,0.2875519,1.48,0.229526
1.4900001,0.3372057,1.4900001,0.2862644,1.4900001,0.2394625
1.5000001,0.3287862,1.5000001,0.3224561,1.5000001,0.2294253
1.5100001,0.3379546,1.5100001,0.3026837,1.5100001,0.2318759
1.5200001,0.33092,1.5200001,0.3047475,1.5200001,0.2434584
1.5300001,0.341542,1.5300001,0.2742667,1.5300001,0.2530257
1.5400001,0.3423665,1.5400001,0.2877877,1.5400001,0.2570052
1.5500001,0.3496749,1.5500001,0.2972398,1.5500001,0.2477354
1.5600001,0.3697253,1.5600001,0.2978727,1.5600001,0.250147
1.5700001,0.339755,1.5700001,0.3083095,1.5700001,0.2557948
1.58,0.3164127,1.58,0.3089399,1.58,0.2557652
1.59,0.3009619,1.59,0.3023936,1.59,0.2448413
1.6,0.3126394,1.6,0.2896787,1.6,0.2444994
1.6100001,0.3138786,1.6100001,0.3049576,1.6100001,0.2289896
1.6200001,0.304877,1.6200001,0.2887525,1.6200001,0.2365741
1.6300001,0.299901,1.6300001,0.2810444,1.6300001,0.2481479
1.6400001,0.3269752,1.6400001,0.2700064,1.6400001,0.2547955
1.6500001,0.317875,1.6500001,0.2742617,1.6500001,0.2587495
1.6600001,0.3082029,1.6600001,0.2723039,1.6600001,0.2550504
1.6700001,0.2921523,1.6700001,0.2801546,1.6700001,0.2646714
1.6800001,0.278312,1.6800001,0.2589499,1.6800001,0.2568636
1.6900001,0.2751341,1.6900001,0.2648944,1.6900001,0.2776985
1.7,0.2872628,1.7,0.2637759,1.7,0.2816708
1.71,0.2942063,1.71,0.2509363,1.71,0.2736928
