RMSD-backbone-A-Gliadin-100SOL-0ETO.xvg,RMSD-backbone-A-Gliadin-100SOL-0ETO.xvg,RMSD-backbone-A-Gliadin-90SOL-10ETO.xvg,RMSD-backbone-A-Gliadin-90SOL-10ETO.xvg,RMSD-backbone-30percent.xvg,RMSD-backbone-30percent.xvg,RMSD-backbone-A-Gliadin-50ETO.xvg,RMSD-backbone-A-Gliadin-50ETO.xvg,RMSD-backbone-70percent.xvg,RMSD-backbone-70percent.xvg
0,1.30E-05,0,5.00E-06,0,0.0000048,0,0.0000254,0,0.0000309
0.01,0.05825,0.01,0.13692,0.01,0.0719474,0.01,0.0648545,0.01,0.0539526
0.02,0.076,0.02,0.17547,0.02,0.0631303,0.02,0.0712423,0.02,0.0672836
0.03,0.08218,0.03,0.21925,0.03,0.0695593,0.03,0.07236,0.03,0.0680913
0.04,0.07467,0.04,0.21913,0.04,0.0619214,0.04,0.0732218,0.04,0.0769339
0.05,0.08875,0.05,0.24564,0.05,0.0657799,0.05,0.0696702,0.05,0.0837773
0.06,0.09668,0.06,0.23285,0.06,0.0688306,0.06,0.0726954,0.06,0.0876082
0.07,0.07446,0.07,0.23757,0.07,0.0704233,0.07,0.0764661,0.07,0.0844604
0.08,0.07632,0.08,0.22849,0.08,0.0675619,0.08,0.0864476,0.08,0.0780874
0.09,0.06815,0.09,0.24914,0.09,0.0754691,0.09,0.0945229,0.09,0.0929956
0.1,0.07351,0.1,0.26411,0.1,0.0876303,0.1,0.0974962,0.1,0.0886616
0.11,0.0708,0.11,0.26065,0.11,0.0784107,0.11,0.0965633,0.11,0.0894834
0.12,0.07854,0.12,0.30481,0.12,0.0876275,0.12,0.0979089,0.12,0.0919446
0.13,0.07363,0.13,0.32612,0.13,0.0967668,0.13,0.0821826,0.13,0.0906469
0.14,0.07946,0.14,0.30693,0.14,0.0985401,0.14,0.0765773,0.14,0.0806858
0.15,0.07546,0.15,0.30353,0.15,0.0921611,0.15,0.0785297,0.15,0.076086
0.16,0.06648,0.16,0.31538,0.16,0.0817708,0.16,0.0810433,0.16,0.0870216
0.17,0.07737,0.17,0.32261,0.17,0.0860773,0.17,0.073251,0.17,0.0777934
0.18,0.06931,0.18,0.32108,0.18,0.0945442,0.18,0.0726642,0.18,0.0819135
0.19,0.0771,0.19,0.31478,0.19,0.093741,0.19,0.0873189,0.19,0.0816931
0.2,0.07452,0.2,0.29998,0.2,0.0911689,0.2,0.0868751,0.2,0.0784861
0.21,0.07239,0.21,0.29458,0.21,0.0790073,0.21,0.1034309,0.21,0.0913111
0.22,0.0739,0.22,0.29077,0.22,0.08888,0.22,0.0996443,0.22,0.0887832
0.23,0.07669,0.23,0.32552,0.23,0.0907959,0.23,0.0873057,0.23,0.0897034
0.24,0.0869,0.24,0.37499,0.24,0.0764071,0.24,0.0809265,0.24,0.0767388
0.25,0.08461,0.25,0.39782,0.25,0.0762743,0.25,0.0781071,0.25,0.0788031
0.26,0.07869,0.26,0.39947,0.26,0.0775129,0.26,0.0845982,0.26,0.0844038
0.27,0.07663,0.27,0.41627,0.27,0.0793841,0.27,0.0830426,0.27,0.0844707
0.28,0.07056,0.28,0.41337,0.28,0.0722442,0.28,0.0804093,0.28,0.0837304
0.29,0.06758,0.29,0.42371,0.29,0.0862901,0.29,0.0809853,0.29,0.0793019
0.3,0.08632,0.3,0.41523,0.3,0.0839107,0.3,0.0854869,0.3,0.087762
